"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","초등학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","X20대취업율","X30대취업율","X40대취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_silup_rate","F_silup_rate"
"2007. 04",77.85,78.524,89.525,75.259,76.302,98.968,74.401,82.367,107.697,119.49,93.489,111.865,92.894,91.829,87.098,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,85.774,87.426,1605,225,354,399,2183,1035,1062,789,519,4.1,3.8
"2007. 05",76.662,78.828,88.796,75.977,76.302,100.351,74.329,82.612,107.697,119.49,93.489,111.865,92.894,91.829,87.098,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,85.774,90.719,2026,232,351,400,2079,1037,1064,799,516,3.9,3.7
"2007. 06",76.267,78.98,88.523,75.977,76.445,100.904,74.619,82.694,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,85.774,90.719,1233,236,354,400,2000,1040,1066,807,522,4,3.9
"2007. 07",76.267,79.284,89.253,76.121,76.302,101.641,74.838,82.857,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,86.548,90.719,778,245,353,402,2188,1043,1068,813,530,3.6,4.5
"2007. 08",76.9,79.208,89.434,76.049,76.302,100.535,74.983,82.939,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,86.548,90.719,657,236,349,397,2358,1045,1070,800,521,3.7,4.3
"2007. 09",81.018,79.512,89.799,76.049,76.158,101.548,74.838,83.184,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,72.372,81.178,77.343,77.121,77.543,66.974,97.857,70.776,86.548,90.719,1228,236,354,398,2390,1048,1073,804,533,4.1,3.6
"2007. 10",80.701,79.739,90.072,76.265,76.158,102.377,75.056,83.429,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,72.372,81.178,78.279,77.121,77.543,66.974,97.857,70.776,86.548,90.719,2269,235,355,403,2488,1050,1075,808,540,4.3,3.2
"2007. 11",77.929,80.499,90.619,76.768,76.23,106.248,75.056,83.756,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,72.372,81.178,78.279,77.121,77.543,66.974,97.857,70.776,86.548,90.719,2289,231,362,397,2254,1053,1077,802,542,4,2.9
"2007. 12",77.771,81.031,90.619,76.912,76.445,108.92,75.274,83.919,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,72.372,81.178,78.279,77.121,77.543,66.974,97.857,70.776,86.548,90.719,2060,235,352,397,2083,1055,1080,804,536,4.7,3.4
"2008. 01",78.325,81.714,92.17,76.912,77.163,111.409,74.983,84.083,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,74.63,81.178,78.279,78.872,80.61,66.974,97.857,71.337,86.548,90.719,1417,235,343,396,2417,1058,1082,798,520,4.8,3.6
"2008. 02",79.672,81.714,92.261,76.84,78.097,110.764,74.765,84.164,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,74.63,81.178,79.143,78.872,80.61,71.251,97.857,71.337,86.548,90.719,1105,235,337,391,2074,1060,1084,800,516,4.9,4.1
"2008. 03",78.167,82.853,93.355,76.84,79.173,113.067,75.274,84.328,121.181,122.399,100.538,121.362,99.581,100.178,92.9,132.325,94.333,79.808,84.145,79.143,80.623,80.61,71.974,97.857,78.415,86.548,91.66,1868,234,340,390,2328,1063,1086,811,518,4.8,4
"2008. 04",79.672,83.688,92.989,76.912,79.603,116.016,75.056,84.492,121.181,122.399,100.538,121.362,99.581,100.178,92.9,132.325,94.333,79.808,84.145,80.008,80.623,80.61,71.974,97.857,78.905,86.548,91.66,1829,238,337,392,2149,1065,1089,813,530,3.9,3.8
"2008. 05",79.434,85.435,93.628,77.774,79.603,123.94,76.074,84.737,121.181,122.399,100.538,121.362,99.502,100.178,92.9,132.325,94.333,79.808,84.145,80.008,80.623,80.61,71.974,97.857,81.428,86.548,91.66,1941,241,337,394,2086,1067,1091,813,532,4.1,3.2
"2008. 06",78.405,87.03,94.084,77.99,79.532,132.787,76.074,84.9,121.181,122.399,100.538,121.362,99.342,100.178,92.595,132.325,94.333,79.808,84.145,80.008,80.623,79.04,71.974,97.857,84.021,86.548,91.66,1381,231,339,395,1884,1070,1093,803,537,4.1,3.6
"2008. 07",79.434,88.093,95.816,77.99,79.819,135.366,76.583,85.227,121.181,122.399,100.538,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,80.623,79.04,71.974,97.857,84.021,86.548,91.66,869,237,337,394,2091,1072,1095,808,541,4.3,3.3
"2008. 08",81.573,86.726,94.357,77.99,79.819,126.244,77.092,85.227,121.181,122.399,100.538,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,80.623,79.04,71.974,97.857,84.021,86.548,93.448,903,232,334,384,2017,1073,1096,797,528,4.3,3.1
"2008. 09",81.256,86.954,96.455,78.062,79.819,121.545,77.528,85.308,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,80.623,80.61,71.974,97.857,84.021,87.709,93.448,1154,231,336,385,2181,1074,1097,793,534,3.8,3.2
"2008. 10",78.643,86.878,97.366,78.134,79.747,119.057,77.747,85.553,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,80.623,80.61,71.974,97.857,84.021,87.709,93.448,2160,228,342,393,2187,1075,1098,802,547,3.6,3.7
"2008. 11",78.325,85.511,97.001,79.068,81.111,107.723,77.965,85.717,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,81.464,80.61,71.974,97.857,84.021,87.709,93.448,1826,229,339,394,2001,1077,1100,808,541,3.8,3.2
"2008. 12",80.068,84.828,99.554,79.931,80.896,98.968,77.892,85.881,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,81.464,80.61,71.974,97.857,84.021,87.709,93.448,1655,224,333,391,1950,1078,1101,798,519,4.1,3.6
"2009. 01",83.711,84.371,99.006,79.931,81.757,95.835,77.747,86.126,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,81.464,80.61,71.974,97.857,84.021,87.709,93.448,1016,223,325,390,2434,1080,1102,783,518,4.3,3.9
"2009. 02",83.632,85.739,101.104,80.003,81.972,101.272,78.183,86.126,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,81.464,80.61,71.974,97.857,86.683,87.709,92.507,1090,231,321,389,2020,1081,1103,790,518,5,3.9
"2009. 03",85.691,86.346,101.468,80.074,82.547,102.838,78.328,86.371,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,79.808,88.939,80.008,85.037,80.61,73.356,97.857,86.683,87.709,92.507,1536,230,324,394,2257,1082,1104,797,531,5.3,4.4
"2009. 04",87.829,86.27,99.645,80.146,82.619,104.497,77.819,86.452,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,79.808,88.939,80.008,85.037,80.61,73.356,97.857,87.454,87.709,92.507,1440,233,332,396,2092,1083,1106,811,547,4.5,4.1
"2009. 05",85.929,86.346,99.098,82.015,82.619,102.285,78.619,86.452,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,79.808,88.939,80.008,85.037,80.61,73.356,97.857,87.454,87.709,92.507,1770,231,333,395,2012,1084,1107,819,552,5.8,4.1
"2009. 06",81.889,87.182,99.827,82.518,82.834,105.695,79.711,86.534,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,81.867,88.939,80.008,85.037,80.61,73.356,97.857,87.454,87.709,92.507,1195,240,335,403,1825,1085,1108,829,573,5.3,4
"2009. 07",83.315,87.485,100.374,82.662,82.762,106.708,79.42,86.616,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,81.867,88.939,80.008,85.037,80.61,73.356,97.857,89.697,87.709,92.507,760,246,335,400,1903,1087,1109,833,570,5.2,3.6
"2009. 08",84.265,87.713,99.919,82.734,82.69,109.473,79.056,86.697,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,81.867,88.939,80.008,85.037,80.61,73.356,97.857,89.697,87.709,92.507,881,237,332,392,1966,1088,1111,822,552,5,3.3
"2009. 09",82.839,87.865,100.557,82.806,82.69,110.118,78.983,86.779,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,96.188,81.867,88.939,80.008,85.037,80.61,73.356,97.857,89.697,87.709,92.507,1321,233,334,396,2044,1090,1112,812,562,4.9,3.2
"2009. 10",82.681,87.485,100.739,82.878,82.69,106.616,79.056,86.779,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,96.188,81.867,88.939,80.8,85.037,80.61,73.356,97.857,89.697,87.709,92.507,1902,235,338,393,2040,1091,1114,818,557,4.9,3.1
"2009. 11",79.988,88.473,101.559,84.316,82.762,110.118,79.492,87.024,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,94.333,81.867,88.939,82.456,85.037,80.61,73.356,97.857,89.697,87.709,92.507,1995,233,337,395,1912,1093,1115,824,566,5.3,4.2
"2009. 12",82.998,88.473,101.742,84.316,82.834,110.026,79.347,87.27,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,94.333,81.867,88.939,82.456,85.037,80.61,73.356,97.857,89.697,87.709,92.507,1611,235,340,391,1874,1094,1117,814,547,4.3,4.9
"2010. 01",84.504,89.143,103.326,84.308,83.414,112.48,78.589,87.402,129.581,122.399,104.367,121.665,100.118,98.92,93.397,143.593,94.289,86.116,90.714,84.102,84.991,82.111,73.293,97.857,89.535,87.842,92.507,1246,229,335,392,2352,1097,1119,815,552,5.6,7.1
"2010. 02",86.714,89.054,102.916,83.8,83.414,112.365,78.825,87.402,129.581,122.399,104.367,121.665,100.118,98.92,93.397,143.593,94.289,86.116,90.714,84.102,85.852,82.111,73.293,97.857,89.716,89.001,92.507,913,229,333,390,2034,1099,1120,819,549,6.1,6.8
"2010. 03",87.818,89.143,102.505,83.885,84.604,114.205,78.51,87.402,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,83.651,73.293,97.857,89.806,89.001,92.507,1674,227,333,391,2215,1100,1122,822,554,5.5,5.4
"2010. 04",91.04,89.502,102.813,83.8,84.604,116.16,78.51,87.578,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,85.19,75.797,97.857,89.987,88.912,92.507,1621,235,332,393,2100,1101,1123,833,566,5.1,4.3
"2010. 05",89.936,89.681,102.711,83.969,84.604,116.275,79.22,87.755,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,86.644,75.797,97.857,89.987,89.447,92.507,1875,237,333,397,2095,1103,1125,840,568,4.4,3.5
"2010. 06",88.095,89.771,102.505,84.561,84.604,115.125,79.299,87.931,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,86.644,77.011,97.857,89.987,89.447,92.507,1224,237,334,395,1980,1104,1126,834,572,4.5,4
"2010. 07",89.383,89.861,102.403,84.561,85.369,115.7,78.983,88.196,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,86.644,77.011,97.857,90.077,89.447,92.507,953,237,343,394,2034,1106,1128,854,583,4.9,4.5
"2010. 08",92.329,89.861,102.608,84.73,85.624,115.24,78.904,88.549,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,95.243,86.116,90.714,82.043,85.852,86.644,77.011,97.857,90.077,89.447,92.507,1014,224,338,393,2153,1108,1130,828,570,4.4,4
"2010. 09",102.087,89.681,102.403,84.73,86.305,113.515,78.983,88.637,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,90.714,82.043,85.852,86.644,77.011,97.857,90.077,89.447,92.507,1131,226,336,396,2266,1110,1131,846,560,4.9,4.8
"2010. 10",102.455,89.95,102.403,84.815,86.305,114.32,79.457,88.901,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,90.714,82.043,85.852,86.644,77.011,97.857,90.077,89.447,92.507,2082,225,335,396,2365,1111,1133,854,566,5,5.5
"2010. 11",95.735,89.771,102.3,85.745,85.794,115.355,77.563,89.166,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,90.714,82.043,87.66,86.644,77.011,97.857,90.98,89.447,92.507,1916,232,337,402,2279,1113,1135,854,570,4.8,4
"2010. 12",94.354,90.758,102.198,85.745,85.794,119.38,80.167,89.43,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,90.714,82.043,87.66,86.644,77.011,97.857,92.785,89.447,92.507,1758,222,341,402,1879,1115,1137,851,569,5.5,5.8
"2011. 01",98.496,91.654,103.224,85.83,85.794,123.98,79.93,89.607,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,92.528,82.043,87.66,86.644,77.011,97.857,92.965,90.696,92.507,1246,221,336,396,2590,1117,1139,835,555,5,6.2
"2011. 02",100.338,92.282,103.018,86.422,86.05,125.706,80.561,89.695,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,92.528,82.043,88.608,86.644,77.011,97.857,93.055,90.963,92.969,1121,217,338,384,2102,1119,1141,840,553,6.2,5.5
"2011. 03",99.693,93.179,102.916,86.506,88.175,130.766,80.877,89.96,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,97.857,93.146,90.963,92.969,1603,213,341,392,2325,1120,1143,861,563,6.3,6.2
"2011. 04",98.036,93.269,102.711,86.506,88.175,131.686,80.246,90.048,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,97.857,92.965,90.963,92.969,1656,213,344,399,2299,1122,1144,860,584,4.9,5.7
"2011. 05",95.275,93.896,102.916,87.69,88.175,130.076,81.745,90.665,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,97.857,93.055,90.963,92.969,1893,221,344,407,2106,1124,1146,866,596,4.2,4.2
"2011. 06",96.471,94.076,103.018,87.859,88.175,129.156,82.297,90.93,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,98.836,93.055,90.963,92.969,1380,218,345,408,1986,1125,1148,865,607,4.4,5
"2011. 07",98.496,94.614,102.711,87.944,88.77,131.686,82.613,91.371,146.453,100,105.626,123.506,103.553,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,98.836,93.055,91.498,92.969,900,220,340,414,2135,1127,1150,872,601,5.4,4.5
"2011. 08",103.928,94.704,102.711,87.944,88.77,131.801,82.455,91.459,146.453,100,105.626,123.506,103.553,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,84.294,98.836,93.055,91.498,92.969,998,220,335,412,2250,1129,1152,863,598,4.3,4
"2011. 09",102.363,94.883,102.608,87.944,88.77,132.031,82.849,91.547,146.453,100,105.206,123.506,103.452,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,88.012,98.836,93.055,91.498,92.969,1169,216,337,409,2184,1130,1154,858,589,4.4,3.7
"2011. 10",98.036,95.062,102.711,88.028,88.77,133.641,82.06,91.724,146.453,100,105.206,123.506,103.452,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,88.012,99.618,93.055,91.766,92.969,2257,219,338,417,2141,1132,1156,866,606,3.9,4.3
"2011. 11",96.563,95.69,102.711,90.058,88.77,133.066,82.613,91.988,146.453,100,105.206,123.506,103.452,100.728,97.482,164.884,98.103,89.302,92.528,84.432,90.416,88.184,89.226,99.618,93.055,91.766,92.969,2054,221,339,416,2108,1134,1158,868,607,4.6,3
"2011. 12",99.141,95.6,102.403,90.058,89.196,131.111,82.928,92.253,146.453,100,105.206,123.506,103.452,100.728,97.482,164.884,98.103,90.25,92.528,84.432,90.416,88.184,89.226,99.618,93.236,92.479,95.097,1736,223,338,417,1892,1137,1160,871,602,3.9,3.9
"2012. 01",102.722,95.932,102.988,90.058,89.247,131.801,82.936,92.279,146.494,100,105.217,123.519,103.411,100.728,97.492,164.899,96.215,90.258,92.528,86.046,90.399,89.732,89.226,99.618,93.561,93.398,95.069,1113,214,330,409,2546,1138,1162,856,594,5,5.2
"2012. 02",102.409,96.587,102.516,90.286,90.156,134.699,84.42,92.482,146.494,100,105.217,123.519,103.411,100.728,97.492,164.899,96.215,90.258,92.528,87.652,90.399,91.254,90.448,99.618,93.561,93.398,95.069,1299,212,333,407,2211,1140,1164,855,598,5.1,5.6
"2012. 03",103.863,96.865,102.003,90.455,90.964,137.264,84.42,92.606,123.219,100,101.64,101.162,100.936,100.728,97.197,107.851,96.215,93.264,92.528,89.596,92.999,91.254,90.448,99.618,94.13,94.156,95.069,1839,224,338,419,2492,1142,1166,876,611,4.6,5.1
"2012. 04",101.028,96.578,101.746,90.464,90.964,138.713,83.173,92.808,123.219,100,101.64,101.162,100.936,100.728,97.197,107.851,99.905,93.264,92.528,89.596,92.999,91.254,90.448,99.618,94.13,94.432,95.069,1580,219,341,415,2270,1143,1168,885,624,4.4,5.1
"2012. 05",100.669,97.116,101.941,91.757,91.185,137.816,84.349,92.958,123.219,100,101.64,101.162,100.936,100.728,97.197,107.851,99.905,93.264,92.528,89.596,92.999,91.254,90.448,99.618,94.527,94.432,95.069,1515,215,337,419,2251,1145,1170,882,632,4.4,4.8
"2012. 06",99.868,96.919,101.664,92.476,91.143,134.055,84.585,93.073,123.219,100,101.64,101.162,100.936,100.728,97.197,107.851,99.905,93.264,92.528,89.596,92.999,91.254,91.047,99.618,94.671,94.432,96.781,1625,215,344,417,2236,1146,1172,884,635,4.7,4.2
"2012. 07",99.353,95.986,101.469,92.476,91.355,128.845,83.41,93.188,123.219,100,101.64,101.162,100.936,100.728,97.197,107.851,99.905,94.9,92.528,91.219,93.86,91.254,91.047,99.618,95.104,94.432,96.781,1077,227,339,413,2281,1148,1174,893,628,4.7,4.4
"2012. 08",99.905,96.587,101.305,92.468,91.355,131.744,84.017,93.399,123.219,100,101.64,101.162,100.936,100.728,97.197,107.851,99.905,94.9,92.528,92.85,93.86,91.254,91.047,99.618,95.565,94.432,96.781,960,211,340,410,2385,1150,1176,878,619,4.4,4.6
"2012. 09",105.492,97.313,101.346,92.459,91.432,135.516,84.767,93.54,123.219,100,101.115,101.162,100.936,100.728,97.197,107.851,99.905,94.9,92.528,92.85,93.86,91.254,91.047,99.618,95.565,94.798,96.781,1326,208,344,412,2420,1151,1178,874,622,3.9,4.2
"2012. 10",104.167,97.206,100.997,92.459,91.976,135.102,84.357,93.69,123.219,100,101.115,101.162,100.936,100.728,97.197,107.851,99.905,94.9,92.528,92.85,93.86,91.254,91.047,99.618,95.565,94.798,96.781,2088,215,347,414,2461,1152,1180,879,630,3.9,3.7
"2012. 11",100.816,97.062,101.305,93.745,91.959,131.249,84.775,93.752,123.219,100,101.115,101.162,100.936,100.728,97.197,107.851,99.905,94.9,92.528,92.85,93.86,91.254,91.047,99.618,96.025,94.798,96.781,1984,218,344,410,2227,1154,1182,881,627,4.3,2.9
"2012. 12",102.335,97.116,101.438,93.753,92.138,130.697,84.672,93.831,123.219,100,101.115,101.162,100.936,100.728,97.197,107.851,99.905,94.9,92.528,92.85,93.86,92.777,92.246,99.618,96.025,95.511,96.781,1673,216,340,407,2001,1157,1184,875,617,4.9,4.1
"2013. 01",105.566,97.062,102.177,93.753,92.554,130.398,83.781,93.893,123.219,100,101.115,101.162,100.936,100.728,97.197,107.851,99.905,94.9,94.098,94.506,96.444,92.777,92.246,101.067,96.485,96.626,96.781,1314,207,332,396,2539,1158,1185,870,603,5.9,5.2
"2013. 02",106.818,97.439,101.982,93.778,92.554,131.732,85.059,93.955,123.219,100,101.115,101.162,100.936,100.728,97.197,107.851,99.905,94.9,94.098,94.506,96.444,92.777,93.445,101.067,95.565,97.705,96.781,1036,204,334,389,2182,1160,1187,866,607,6.5,4.8
"2013. 03",103.964,97.699,101.613,93.821,93.311,133.848,84.846,93.981,89.448,100,100.108,100.966,100.219,100.427,97.976,85.099,99.905,94.9,95.812,96.17,98.269,94.291,98.832,101.067,95.565,98.205,96.781,1785,201,344,400,2300,1162,1189,874,621,4.8,3.6
"2013. 04",103.467,97.08,101.182,93.804,93.328,131.376,83.015,94.034,89.448,100,100.108,100.966,100.219,100.427,97.976,85.099,99.905,94.9,95.812,96.17,98.269,94.291,98.832,101.067,95.862,98.205,97.854,1549,204,343,398,2096,1163,1191,881,634,4.6,3.4
"2013. 05",102.234,97.242,100.884,94.717,93.328,127.741,84.325,94.131,90.333,100,100.108,100.966,100.219,100.427,97.976,85.099,99.905,94.9,95.812,96.17,98.269,94.291,98.832,101.067,96.765,98.205,97.854,1692,212,343,399,2045,1165,1193,888,630,4.4,2.9
"2013. 06",100.844,97.412,101.274,95.013,94.45,127.408,84.357,94.308,90.333,100,100.108,100.966,100.219,100.427,97.976,85.099,99.905,95.882,96.511,96.17,98.269,94.291,98.832,101.067,96.765,97.937,97.854,1504,212,344,402,1909,1167,1195,892,632,4.1,2.7
"2013. 07",100.743,97.286,101.336,95.038,94.765,129.225,82.652,94.361,90.333,100,100.108,100.966,100.219,100.427,97.976,85.099,99.905,95.882,96.511,96.17,98.269,94.291,98.832,101.067,97.018,97.937,97.854,1050,209,342,402,2162,1169,1196,890,633,4.3,4.1
"2013. 08",104.802,97.017,101.223,95.013,94.765,130.341,84.001,94.511,90.333,100,100.108,100.966,100.219,100.427,97.976,85.099,99.905,95.882,96.511,96.17,98.269,94.291,98.832,101.067,97.018,97.937,97.854,1001,212,340,405,2203,1170,1198,887,637,4.1,3.8
"2013. 09",104.305,97.968,101.438,95.038,94.765,129.363,84.783,94.722,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,99.905,95.882,96.511,96.17,98.269,94.291,98.832,101.781,97.117,95.957,97.854,1186,217,346,403,2129,1172,1200,888,639,3.9,2.9
"2013. 10",99.739,98.04,101.962,95.038,94.952,127.684,84.988,95.066,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,99.905,95.882,96.511,96.17,98.269,94.291,98.832,101.781,97.117,94.807,97.854,2098,206,351,407,2144,1174,1202,895,639,3.7,3.5
"2013. 11",96.462,98.685,101.654,97.973,94.952,126.258,85.95,95.357,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,99.905,95.882,96.511,96.17,98.269,94.291,98.832,101.781,97.631,94.807,97.854,2000,209,344,407,1972,1175,1203,885,630,3.2,4.3
"2013. 12",96.692,98.515,100.915,97.854,95.326,126.683,85.09,95.595,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,101.754,95.882,96.511,96.17,98.269,94.291,100,101.781,97.631,94.807,97.854,1795,211,345,402,1879,1177,1205,884,627,3.5,4.2
"2014. 01",99.03,98.614,101.613,97.973,95.326,128.282,84.767,96.001,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,101.754,98.146,96.511,97.825,98.269,95.822,100,101.781,98.011,96.243,97.854,1209,205,338,400,2362,1179,1207,892,632,5.4,6.6
"2014. 02",100.485,99.071,101.459,97.88,95.335,127.787,85.801,96.001,90.472,100,100.098,100.966,100.219,100.427,97.976,85.099,101.754,98.146,96.511,97.825,98.269,95.822,100,101.781,98.011,96.243,97.854,1212,206,332,404,2192,1180,1209,891,636,5.5,6.5
"2014. 03",99.886,99.286,101.469,97.795,95.853,127.638,86.029,96.177,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.511,97.825,98.269,95.822,100,101.781,98.101,96.243,97.854,1716,200,336,407,2219,1182,1210,897,638,4.9,5.6
"2014. 04",98.957,98.963,101.1,97.711,95.768,127.028,85.816,96.424,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.511,97.825,98.269,95.822,100,101.781,98.101,96.243,97.854,1640,208,340,407,2246,1184,1212,906,651,4.5,4.3
"2014. 05",99.408,99.394,101.264,98.294,96.338,126.752,86.416,96.654,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.511,97.825,98.269,97.344,100,101.781,97.424,96.243,97.854,1748,209,340,407,2118,1185,1214,907,662,4.3,5.4
"2014. 06",98.165,99.349,100.915,98.954,96.338,125.614,86.116,96.715,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.901,97.825,98.269,98.858,100,101.781,97.424,97.17,97.854,1414,206,341,409,1955,1187,1216,902,663,4,5
"2014. 07",97.125,99.358,100.648,98.954,97.197,125.211,85.974,96.857,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.901,97.825,98.269,98.858,100,101.781,96.72,96.537,97.854,958,211,341,407,2156,1188,1217,904,665,4.6,4
"2014. 08",99.132,99.241,100.546,98.954,97.154,123.98,86.053,97.068,95.989,100,99.993,100.266,100.017,100.126,99.344,94.548,101.754,98.146,96.901,97.825,98.269,98.858,100,101.781,96.72,96.537,97.854,940,211,336,402,2227,1190,1218,893,656,4.1,3.9
"2014. 09",99.785,99.053,100.176,99.063,97.154,121.749,86.953,97.218,95.989,100,99.983,100.266,100.017,100.126,99.344,94.548,101.754,98.146,97.835,97.825,98.269,98.858,100,101.781,96.521,97.571,97.854,1207,215,337,405,2248,1191,1220,895,656,3.7,4
"2014. 10",97.3,98.99,100.227,99.063,97.154,119.518,86.826,97.474,95.989,100,99.983,100.266,100.017,100.126,99.344,94.548,101.754,98.146,97.835,97.825,98.269,98.858,100,99.286,96.63,97.571,97.854,1903,211,336,402,2118,1191,1221,888,648,3.5,4.7
"2014. 11",96.204,98.784,99.766,100.171,96.993,116.091,86.945,97.694,95.989,100,99.983,100.266,100.017,100.126,99.344,94.548,101.754,98.146,97.835,97.825,98.269,98.858,100,99.286,98.751,97.571,97.854,1651,208,338,396,1937,1193,1222,895,645,3.8,5.5
"2014. 12",97.235,98.363,99.54,100.044,99.297,111.605,87.071,97.994,95.989,100,99.983,100.266,100.017,100.126,99.344,94.548,101.754,98.146,97.835,97.825,98.269,98.858,100,99.286,99.843,97.723,97.854,1653,206,339,393,2008,1194,1223,879,631,4.1,5.4
"2015. 01",99.43,100.05,100.61,99.85,99.36,100.97,99.56,98.7,96.07,100,99.98,100.22,100.02,100.12,99.37,94.92,100,98.42,100.48,97.9,100,98.92,100,99.3,98.6,98.62,100,1274,211,345,391,2445,1195,1225,885,638,5.2,5.7
"2015. 02",101.56,99.5,100.66,99.54,99.74,96.5,100,98.91,96.07,100,99.98,100.22,100.02,100.12,99.37,94.92,100,98.42,100.48,97.9,100,98.92,100,99.3,99.34,98.74,100,947,200,347,394,2113,1196,1226,895,638,6.4,6.3
"2015. 03",99.85,100.16,100.44,99.53,99.74,100.83,100.43,99.23,100.79,100,100,99.96,100,99.98,100.12,101.02,100,98.42,100.48,99.46,100,98.92,100,99.3,99.52,98.74,100,1702,201,346,398,2262,1197,1227,902,644,5.7,4.9
